Artist,Name,Energy,BPM,Subgenre,ISRC,ACCESSIBILITY,EXPLICIT,TAGS
Led Zeppelin,All My Love (Remaster),Medium,91,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
The Police,The Bed's Too Big Without You (Remastered 2003),Medium,91,Benny's Evening;Municipal Bar (Late Night);Classic Rock;New Wave,,TIMELESS,FAMILY,
Donald Byrd,Dominoes,Medium,104,Benny's Evening;Close Company (Early);Funk & Soul Classics,,TIMELESS,FAMILY,
Jackie DeShannon,Put A Little Love In Your Heart,Medium,101,Benny's Evening;Funk & Soul Classics;Classic Rock,,TIMELESS,FAMILY,
Pretenders,Brass in Pocket (2006 Remaster),Medium,98,Benny's Evening;Classic Rock;New Wave,,TIMELESS,FAMILY,
Thin Lizzy,Half Caste,Medium,110,Benny's Evening;Classic Rock,,ECLECTIC,SUGGESTIVE,
Crowded House,Don't Dream It's Over,Medium,82,Benny's Evening;New Wave;80s Rock,,TIMELESS,FAMILY,
Still Woozy,All Your Life,Medium,116,Benny's Evening;2020s Indie Rock,,TIMELESS,FAMILY,
George Michael,Faith (Remastered),High,96,Benny's Evening;80s Rock;80s Pop,,TIMELESS,SUGGESTIVE,
Lord Echo,Thinking of You,Medium,97,Benny's Evening;Cathedrale (John);Moxy Mid-Morning (NYC 2025);Modern Funk;Modern Soul,,TIMELESS,FAMILY,
Van Morrison,Did Ye Get Healed,Medium,76,Benny's Evening;Classic Rock;Soul Classics,,TIMELESS,FAMILY,
Gary Wright,Love Is Alive,Medium,98,Benny's Evening;Classic Rock;Yacht Rock,,TIMELESS,FAMILY,
The Pointer Sisters,Slow Hand,Medium,111,Benny's Evening;Capon's Chophouse (Lunch);Yacht Rock;Soul Classics;Funk & Soul Classics,,TIMELESS,SUGGESTIVE,
Shabba Ranks,Mr. Loverman (feat. Chevelle Franklin),High,86,Benny's Evening;Reggae Classics,,TIMELESS,SUGGESTIVE,
Chris Rea,On the Beach,Low,128,Benny's Evening;Yacht Rock;80s Rock,,TIMELESS,SUGGESTIVE,
Love,Everybodys Gotta Live,Medium,106,Benny's Evening;Classic Rock;Garage Rock (60s & 70s),,TIMELESS,FAMILY,
The Specials,Do Nothing (2015 Remaster),Medium,84,"Benny's Evening;Waymore's (Punk, Ska & Adjacent);Reggae Classics;New Wave",,TIMELESS,FAMILY,
Carly Simon,Why,High,92,Benny's Evening;Capon's Chophouse (Lunch);Yacht Rock;80s Pop;80s Rock,,ECLECTIC,FAMILY,
Peter Gabriel,Solsbury Hill,High,102,Benny's Evening;Classic Rock;70s Pop,,TIMELESS,FAMILY,
Dr. Hook,Sexy Eyes,Medium,102,Benny's Evening;Capon's Chophouse (Lunch);Hotel Contessa Pool;Yacht Rock;Funk & Soul Classics,,CHEESY,SUGGESTIVE,
David Bowie,Heroes (2017 Remaster),High,112,Benny's Evening;Classic Rock,,TIMELESS,SUGGESTIVE,
J.J. Cale,Cajun Moon,Low,102,Benny's Evening;Classic Rock,,TIMELESS,FAMILY,
Rebles,Sweetest Taboo,High,109,Benny's Evening;Reggae Classics;Latin Funk & Soul (Classic),,ECLECTIC,FAMILY,
